state,year,month_name,pollutant_value,temperature,humidity,wind_speed,precipitation_total
Johor,2022,July,52.27122681640293,27.90054698826941,86.71283672528486,3.1626160837779094,2.9929121522693998
Johor,2022,June,50.26412020275163,26.97998586683417,89.37228064668028,2.840558781980851,3.1182341086573184
Johor,2022,March,42.39659729104724,27.760927892677472,87.00087111905295,3.5075333668397835,5.055603031970169
Johor,2022,May,51.18249033775836,28.71346382674917,86.26753901845588,3.3952492434191743,5.880667358018666
Johor,2022,November,42.57810245310245,27.749293728307368,88.55724316035833,4.119812767331127,1.607632753379471
Johor,2022,October,48.03468815697267,27.593298742414916,88.94365107281041,4.5528842771720015,1.4455395215808633
Johor,2022,September,52.98131848392312,27.36498148934879,88.2083009708738,3.343501213592233,3.2029522928505356
Johor,2023,April,62.2229188436085,27.89089283052616,85.88773929236498,2.6099505079447773,1.0533381901441432
Johor,2023,August,57.711693548387096,27.259209994716723,87.05150035722791,2.2673285306025246,3.00709984399376
Johor,2023,December,35.680611559139784,26.69700130378096,88.82601043024772,2.7485373207301174,3.4901235695949175
Johor,2023,February,35.71259842519685,26.874606634425447,87.34563040664804,5.132348967380815,1.1230781047477318
Johor,2023,January,40.46822916666667,26.789187426633625,87.5896987873256,4.82689972581277,1.8431341985064886
Johor,2023,July,52.97370638799933,28.200371544093542,85.86265525405209,2.5157558877450286,2.1822654929577467
Johor,2023,June,54.78728945997569,28.19761016782805,86.2167189798921,2.438531369780109,3.1486455287640025
Johor,2023,March,45.13647138503217,26.8830298567412,87.28107511045656,4.455313890261987,1.7256905573424224
Johor,2023,May,52.93346911065852,28.69829594017094,83.77027286805148,2.6834315512782463,2.1015545168829073
Johor,2023,November,44.581852198316184,27.059426490669093,87.78453083840495,2.52621372451065,2.92456664557886
Johor,2023,October,75.59341397849462,27.26916177703269,86.1587547029396,2.1029685368172983,2.0971194524177523
Johor,2023,September,62.95590277777778,27.605470440578205,82.63109450624098,2.3842616965271293,2.1390301139446555
Johor,2024,April,50.75971423592961,28.419077612149206,83.99165092028834,2.1503044299811043,2.363842672077415
Johor,2024,August,52.68654646324549,27.161617265400903,85.40839017735334,2.463949522510232,3.059729533753898
Johor,2024,February,45.91235632183908,27.90728558676097,80.39459589370323,3.203515759115567,1.1672168628940371
Johor,2024,January,35.29543821839081,26.57398282941396,87.45546312589985,2.933290673492241,5.391389963619565
Johor,2024,July,57.16493055555556,28.09996413713958,82.07349906863446,3.1318580192813323,1.8951119208745444
Johor,2024,June,52.045858761987795,27.437736092309674,85.92630052214271,2.1467380092831356,4.821843419925778
Johor,2024,March,48.911021233569265,28.48855795148248,79.06103773584906,2.9541239892183286,1.8609136598904807
Johor,2024,May,48.78040994623656,27.88387608709452,86.86659683869739,1.9713959245857933,5.903843173171762
Kedah,2014,August,48.638888888888886,28.145833333333332,83.875,4.1875,
Kedah,2014,December,39.394857667584944,27.28697421981004,83.5,6.331071913161465,
Kedah,2014,November,39.67453944260746,27.70328901329601,85.1294611616515,5.18334499650105,
Kedah,2014,October,39.81059907834101,27.389374579690653,87.85339609952925,4.824242424242424,
Kedah,2014,September,40.121490803484996,27.461805555555557,87.07777777777778,5.4215277777777775,
Kedah,2015,April,47.47872885699641,28.7,80.77222222222223,5.686805555555556,
Kedah,2015,August,52.83695652173913,27.465993265993266,85.53670033670033,5.0457912457912455,
Kedah,2015,December,48.075268817204304,28.304435483870968,79.7513440860215,6.76008064516129,
Kedah,2015,February,53.69664634146341,28.173005219985086,69.43698732289336,8.555555555555555,
Kedah,2015,January,54.25474756831866,27.648521505376344,72.20295698924731,7.506048387096774,
Kedah,2015,July,52.59139784946237,27.931833674164963,85.58486707566462,5.631901840490798,
Kedah,2015,June,40.32331902718169,28.314583333333335,83.39444444444445,5.055555555555555,
Kedah,2015,March,52.004975124378106,29.16139878950908,72.15332885003363,7.540013449899126,
Kedah,2015,May,43.30113356333169,28.92271505376344,82.66397849462365,5.672043010752688,
Kedah,2015,November,41.337078651685395,27.76736111111111,84.33541666666666,5.6375,
Kedah,2015,October,89.26881720430107,28.005379959650302,84.61466039004708,4.866173503698723,
Kedah,2015,September,64.5111111111111,27.72581767571329,85.23869171885873,5.062630480167015,
Kedah,2016,April,55.022222222222226,30.288194444444443,77.52430555555556,6.3597222222222225,
Kedah,2016,August,50.24731182795699,28.40618695359785,83.32885003362475,5.965030262273033,
Kedah,2016,December,44.87096774193548,27.403897849462364,84.61962365591398,6.520161290322581,
Kedah,2016,February,51.06896551724138,29.336925287356323,68.01652298850574,11.086925287356323,
Kedah,2016,January,44.41935483870968,29.073400673400673,74.6915824915825,8.115824915824916,
Kedah,2016,July,53.483870967741936,28.041666666666668,84.95766129032258,4.881048387096774,
Kedah,2016,June,51.71111111111111,28.594444444444445,83.69722222222222,4.691666666666666,
Kedah,2016,March,58.365591397849464,30.204234972677597,70.33948087431693,7.924863387978142,
Kedah,2016,May,45.88172043010753,28.934724091520863,83.50605652759084,5.481157469717362,
Kedah,2016,November,41.51111111111111,27.76044568245125,86.89972144846797,5.97841225626741,
Kedah,2016,October,46.87096774193548,27.530241935483872,88.44018817204301,6.600806451612903,
Kedah,2016,September,47.77777777777778,28.130041724617524,83.53198887343532,6.474965229485396,
Kedah,2017,April,32.84783969943644,,,,
Kedah,2017,August,22.10258449304175,,,,
Kedah,2017,December,22.465201465201464,,,,
Kedah,2017,February,49.845238095238095,,,,
Kedah,2017,January,43.68817689530686,26.900462962962962,87.43287037037037,6.8657407407407405,
Kedah,2017,July,29.964401294498384,27.591463414634145,85.49085365853658,5.5442073170731705,
Kedah,2017,June,24.042672413793102,27.393382352941178,86.30269607843137,5.144607843137255,
Kedah,2017,March,51.314207650273225,,,,
Kedah,2017,May,23.945767195767196,,,,
Kedah,2017,November,17.048227986846914,,,,
Kedah,2017,October,20.664338235294117,26.9125,87.60138888888889,5.673611111111111,
Kedah,2017,September,17.71058394160584,26.61328125,87.03645833333333,5.940104166666667,
Kedah,2018,April,24.587504437344695,29.117361111111112,78.8950660180681,6.692361111111111,
Kedah,2018,August,43.31485215053763,28.430248618784532,82.8121546961326,5.38328729281768,
